relevance_score,questions,categories,title,authors,year,type,venue,publisher,doi,cited_by_count,is_oa,landing_url,oa_url,openalex_id,abstract
41.79,"Q1,Q10,Q2,Q3,Q4,Q5",Ac-225 production and supply; Ac-225 separation and generators; Ra-226 fast-neutron pathway; Ra-226 nuclear data,Local Production of the Alpha-Emitting Radioi-sotope Actinium 225 with Low Impurities for Targeted Alpha Ther-apy by a Compact Neutron Generator System,M. Martellini; K. N. Leung; Giuseppe Gherardi; Lidia Falzone,2023,article,Medical Research Archives,European Society of Medicine,10.18103/mra.v11i9.4409,1,True,http://dx.doi.org/10.18103/mra.v11i9.4409,https://esmed.org/MRA/mra/article/download/4409/99193547286,https://openalex.org/W4387350982,"Alpha-particle emitting radioisotope Actinium225 (225Ac) is of great interest for use in Targeted Alpha Therapy (TAT) treatments of e.g., brain tumors, bladder cancer, neuroendocrine tumors and leukemia. A suitable 225 Ac radioligand is also potentially resolutive for the treatment of advanced and metastatic Castration-Resistant Prostate Cancers (mCRPCs). The mCRPC has a mean survival rate of 9-36 months and encompasses a heterogeneous ample range of molecular cancer behavior with a high risk of progression. Global demand for the 225 Ac has spurred several production efforts including extraction from 233U, high energy protons or photon irradiation of 226Ra or spallation of 232Th by, at least, 100 MeV protons. Instead of using accelerators systems such as cyclotrons or LINACs, a Compact Neutron Generator (CNG) system has been developed. A 400kV-10 mA DC (D_7Li) CNG potentially able to produce substantial amount of 225Ac with low 227Ac impurities is here presented. Exploiting the high flux of 10 and 13 MeV energy neutrons generated by the (D_7Li) reactions to bombard a thin target layer of 226Ra, 225Ra/225Ac is produced via the 226Ra(n,2n)225Ra nuclear reaction. By irradiating a 5 mm thick 226Ra layer for 100 hours, about 11-13 mCi of 225Ac can be produced – corresponding to the TAT treatment of about 65 oncological patients – with an estimated 227Ac contamination of about one percent, which is below the acceptable limit for clinical use. This 225Ac production scheme by a suitable CNG should allow to adopt a local/regional approach avoiding the shipment costs of 225Ac. The aim of this paper is to inform the production chain of radioisotopes to be used in medical field and the medical community involved in the application of radiopharmaceuticals for the cure of cancer, that a new technology based on Compact Neutron Generators (CNG) is in a R&amp;D phase and will allow to produce the necessary quantity of radioisotopes for clinical and research purpose. This will be essential in treatment advanced metastatic cancer as for instance the metastatic Castration – Resistant Prostate Cancer."
37.25,"Q10,Q3,Q4",Ra-226 nuclear data,A Composite Target of a Radium Salt and a Soft Metal Matrix for Production of Ac-225 with a Proton or Electron Accelerator,William Diamond; C. K. Ross; Herbert Moore,2024,preprint,arXiv (Cornell University),Cornell University,,0,True,http://arxiv.org/abs/2412.09798,https://arxiv.org/pdf/2412.09798,https://openalex.org/W4405432920,"The production of 225Ac using either a proton or electron accelerator requires a target of 226Ra. Radium metal is difficult to work with and so a radium salt, such as radium carbonate, is preferred as a target material. Normally available as a powder, the average density of the powder is low and the thermal conductivity is poor, thus limiting the beam power that can be dissipated in the target. This work proposes the creation of a solid mixture of a radium salt powder with a metal matrix. Although aluminum powder has been used in similar applications, we suggest that indium powder is good choice for the metal matrix in the case of radioactive radium salts. The target can be formed with low die pressure without any need for heating, thus simplifying the hot-cell equipment needed for target preparation. We describe how the solid mixture can be formed, measure its thermal conductivity and compare the value to model estimates. We calculate the yield of 225Ac under different scenarios. Calculations show that the radioactive isotopes of indium produced during the irradiation should not produce significant handling challenges post-irradiation. For the proposed target geometry and beam parameters, thermal modelling indicates that the target temperature will be below the melting point of indium and the heat flux from the surfaces will be manageable. Thermal resistance at the target interfaces is shown to have a large effect on the target temperature. Using indium powder to form the mixture, occupying about 40 % of the target volume, we find that the yield of 225Ac is 80 GBq (2 Ci) for a 10-day irradiation with a 24 MeV, 3 kW proton beam and approximately the same for three milkings of 225Ra after a 10-day irradiation with a 25 MeV, 20 kW electron beam."
35.75,"Q1,Q10,Q2,Q3,Q4,Q5",Ac-225 separation and generators; Ra-226 fast-neutron pathway,A Critical Review of Alpha Radionuclide Therapy—How to Deal with Recoiling Daughters?,Robin M. de Kruijff; Hubert Th. Wolterbeek; Antonia G. Denkova,2015,article,Pharmaceuticals,Multidisciplinary Digital Publishing Institute,10.3390/ph8020321,244,True,https://doi.org/10.3390/ph8020321,https://www.mdpi.com/1424-8247/8/2/321/pdf?version=1433927357,https://openalex.org/W1952786736,"This review presents an overview of the successes and challenges currently faced in alpha radionuclide therapy. Alpha particles have an advantage in killing tumour cells as compared to beta or gamma radiation due to their short penetration depth and high linear energy transfer (LET). Touching briefly on the clinical successes of radionuclides emitting only one alpha particle, the main focus of this article lies on those alpha-emitting radionuclides with multiple alpha-emitting daughters in their decay chain. While having the advantage of longer half-lives, the recoiled daughters of radionuclides like 224Ra (radium), 223Ra, and 225Ac (actinium) can do significant damage to healthy tissue when not retained at the tumour site. Three different approaches to deal with this problem are discussed: encapsulation in a nano-carrier, fast uptake of the alpha emitting radionuclides in tumour cells, and local administration. Each approach has been shown to have its advantages and disadvantages, but when larger activities need to be used clinically, nano-carriers appear to be the most promising solution for reducing toxic effects, provided there is no accumulation in healthy tissue."
34.51,"Q1,Q10,Q2,Q3",Ac-225 separation and generators,Evaluation of polydentate picolinic acid chelating ligands and an α-melanocyte-stimulating hormone derivative for targeted alpha therapy using ISOL-produced 225Ac,Caterina F. Ramogida; Andrew K. H. Robertson; Una Jermilova; Chengcheng Zhang; Hua Yang; P. Kunz; et al.,2019,article,EJNMMI Radiopharmacy and Chemistry,Springer Nature,10.1186/s41181-019-0072-5,69,True,https://doi.org/10.1186/s41181-019-0072-5,https://link.springer.com/content/pdf/10.1186/s41181-019-0072-5.pdf,https://openalex.org/W2966782761,"Actinium-225 ( 225 Ac, t 1/2 = 9.9 d) is a promising candidate radionuclide for use in targeted alpha therapy (TAT), though the currently limited global supply has hindered the development of a suitable Ac-chelating ligand and 225 Ac-radiopharmaceuticals towards the clinic. We at TRIUMF have leveraged our Isotope Separation On-Line (ISOL) facility to produce 225 Ac and use the resulting radioactivity to screen a number of potential 225 Ac-radiopharmaceutical compounds. MBq quantities of 225 Ac and parent radium-225 ( 225 Ra, t 1/2 = 14.8 d) were produced and separated using solid phase extraction DGA resin, resulting in a radiochemically pure 225 Ac product in > 98% yield and in an amenable form for radiolabeling of ligands and bioconjugates. Of the many polydentate picolinic acid (“pa”) containing ligands evaluated (H 4 octapa [N 4 O 4 ], H 4 CHX octapa [N 4 O 4 ], p- NO 2 -Bn-H 4 neunpa [N 5 O 4 ], and H 6 phospa [N 4 O 4 ]), all out-performed the current gold standard, DOTA for 225 Ac radiolabeling ability at ambient temperature. Moreover, a melanocortin 1 receptor-targeting peptide conjugate, DOTA-modified cyclized α-melanocyte-stimulating hormone (DOTA-CycMSH), was radiolabeled with 225 Ac and proof-of-principle biodistribution studies using B16F10 tumour-bearing mice were conducted. At 2 h post-injection, tumour-to-blood ratios of 20.4 ± 3.4 and 4.8 ± 2.4 were obtained for the non-blocking (molar activity [M.A.] > 200 kBq/nmol) and blocking (M.A. = 1.6 kBq/nmol) experiment, respectively. TRIUMF’s ISOL facility is able to provide 225 Ac suitable for preclinical screening of radiopharmaceutical compounds; [ 225 Ac(octapa)] − , [ 225 Ac( CHX octapa)] − , and [ 225 Ac(DOTA-CycMSH)] may be good candidates for further targeted alpha therapy studies."
33.83,"Q1,Q10,Q2,Q3,Q4,Q5,Q7,Q9",Ac-225 production and supply; Ac-225 separation and generators; Ac-227 impurity and radionuclidic purity; Medical-isotope scheduling; Ra-226 fast-neutron pathway,Research and Development for Cyclotron Production of 225Ac from 226Ra—The Challenges in a Country Lacking Natural Resources for Medical Applications,Tatsuya Higashi; Kotaro Nagatsu; Atsushi B. Tsuji; Ming‐Rong Zhang,2022,article,Processes,Multidisciplinary Digital Publishing Institute,10.3390/pr10061215,27,True,https://doi.org/10.3390/pr10061215,https://www.mdpi.com/2227-9717/10/6/1215/pdf?version=1655711611,https://openalex.org/W4283014057,"The high therapeutic effect of targeted radioisotope/radionuclide therapy (TRT) using α-emitters, especially 225Ac, is attracting attention worldwide. However, the only 225Ac production method that has been put into practical use is extraction from a 229Th generator derived from the nuclear fuel 233U, and it is unlikely that this method alone is able to meet future global medical demand. Development towards new 225Ac production methods is in progress. These new 225Ac production methods require the irradiation of 232Th or 226Ra using an accelerator or a nuclear reactor. Global competition has already begun in the race to secure a reliable supply of 232Th and 226Ra, as well as 229Th for the conventional production method. Japan is a “resource-poor country” that depends on foreign countries for most of its needs. As such, it is difficult for Japan to secure raw materials such as 232Th and 226Ra for medical application. In this paper, we look back on our research at the National Institutes for Quantum Science and Technology (QST) in the fields of 225Ac production and 225Ac-labeled pharmaceutical development. We present the history and details of our research from 2011, as well as the development of a collaboration between QST and Nihon Medi-Physics that focuses on research into 225Ac production via 226Ra(p,2n)225Ac reaction using an accelerator. Furthermore, we review the valuable discussion at the 2018 Joint IAEA-JRC Workshop—“Supply of Actinium-225”, an international conference that we participated in. Overall, the statuses of external 225Ac supply, domestic production, and distribution are discussed, as are the latest developments in 225Ac production methods, 225Ac pharmaceuticals, and future prospects for the domestic production of 225Ac in Japan, a country lacking natural resources for medical applications."
33.54,"Q10,Q3,Q4",Ra-226 nuclear data,"Status of the <sup>226</sup> Ra nuclear data library and its impact on the production amount of <sup>225</sup> Ac via the <sup>226</sup> Ra (n,2n) reaction",Y. Sasaki; Nobuyuki Iwamoto; Naoyuki Takaki; Shigetaka Maeda,2023,article,Journal of Nuclear Science and Technology,Taylor & Francis,10.1080/00223131.2023.2295018,1,False,https://doi.org/10.1080/00223131.2023.2295018,,https://openalex.org/W4389725162,"225Ac is a promising alpha emitter for targeted alpha therapy. However, the current capability of 225Ac supply is limited to approximately 63 GBq/y, primarily relying on the natural source of 229Th stocked at a few institutes. Therefore, alternative 225Ac production methods are highly desired. The research and development of 225Ac and its parent nuclide production methods using accelerators and reactors to target 226Ra and 232Th are actively pursued worldwide. Hence, the authors focused on the 226Ra(n,2n)225Ra method using fast neutron spectra as an application of the experimental fast reactor Joyo. This study investigated the status of nuclear data libraries for 226Ra, an essential target for 225Ac production, and evaluated the impact of different nuclear data libraries on the amount of 225Ac produced. Consequently, cross-sections with covariance data were stored in TENDL-2021, JEFF-3.3, and EAF-2010 but not in ENDF or JENDL, the major nuclear data libraries. Furthermore, no consistency occurred among the respective nuclear data, and the 225Ra production amount varied."
32.25,"Q1,Q3,Q4",Ac-225 production and supply,Experimental approaches for the production of thorium-229,M. Molnár,2019,dissertation,Illinois Digital Environment for Access to Learning and Scholarship (University of Illinois at Urbana-Champaign),University of Illinois System,,0,True,http://hdl.handle.net/2142/106285,http://hdl.handle.net/2142/106285,https://openalex.org/W3025321716,"In the United States, cancer is the second leading cause of death and a major public health problem worldwide. This has influenced researchers in the field of nuclear medicine to develop new and innovative ways for detecting and treating various forms of cancer. Targeted alpha therapy (TAT) is a promising technique for treating metastatic cancer and involves delivering a radionuclide to the cancerous cells in the body, where it decays by releasing high-energy (5-8 MeV) α-particles with high linear energy transfer (LET) over a short (50-100 µm) range and relatively low toxicity to the rest of the body. Actinium-225 is an ideal radioisotope for TAT due to its short half-life (t1/2=9.92 days) and 3 α-emitting decay daughters. Currently, there is not enough 225Ac available to meet expected demand. Therefore, the goal of this research is to produce more of the parent radioisotope, thorium-229 (t1/2=7932 years.) The two methods of production we chose to investigate are 1) the irradiation of a 226Ra target in the High Flux Isotope Reactor (HFIR) at Oak Ridge National Laboratory (ORNL) and 2) the fast neutron irradiation of a 230Th target in a particle accelerator. \nThis thesis outlines several experiments completed at ORNL to test the feasibility and preparation procedures for these two production methods. First, we experimentally evaluated the effective neutron cross section of 229Th to be 8.36 ± 0.37 barns, which is more than 3 times lower than the current reported value of 30.8 ± 1.5 barns. Second, we tested methods for preparing uniformly distributed 230Th targets for fast neutron irradiation at Lawrence Berkeley National Laboratory and determined that depositing approximately 25-30 mg of enriched 230Th(NO3)4 onto a high-purity aluminum substrate and sealing the material with Kapton tape to prevent rehydration is the best way to produce this target."
32.04,"Q1,Q10,Q2,Q3,Q4,Q5",Ra-226 fast-neutron pathway,Medical Isotope Production of Actinium 225 By Linear Accelerator Photon Irradiation of Radium 226,Paul Daniel VanSant,2013,dissertation,VTechWorks (Virginia Tech),Virginia Tech,,1,False,http://hdl.handle.net/10919/50984,,https://openalex.org/W2562466733,"There is a present and future need for the medical isotope Actinium-225, currently in short supply worldwide. Only a couple manufacturers produce it in very low quantities. In roughly the past 10 years the medical community has explored the use of Ac-225 and its daughter Bismuth-213 for targeting a number of differing cancers by way of Targeted Alpha Therapy (TAT). This method utilizes the alpha-decay of both Ac-225 (half-life 10 days) and Bi-213 (half-life 46 min) to kill cancerous cells on a localized basis. Maximum energy is delivered to the cancer cells thereby greatly minimizing healthy tissue damage. This research proposes a production method using a high-energy photon spectrum (generated by a linear accelerator or LINAC) to irradiate a sample of Radium-226 (half-life 1600yrs). The photo-neutron reaction liberates neutrons from Ra-226 atoms leaving behind Radium-225 (half-life 14.7 days). Ra-225 decays naturally through beta emission to Ac-225. Previous research demonstrated it is possible to produce Ac-225 using a LINAC; however, very low yields resulted which questioned the feasibility of this production method. This research proposes a number of LINAC and radium sample modifications that could be greatly increase yield amounts for practical use. Additionally, photo-neutron cross-section data for Ra-226 was used, which led to improved yield calculations for Ra-225. A MATLAB® model was also created, which enables users to perform quick yield estimates given several key model parameter inputs. Obtaining a sufficient supply of radium material is also of critical importance to this research. Therefore information was gathered regarding availability and inventory of Radium-226. This production method would serve as a way to not only eliminate many hazardous radium sources destined for interim storage, but provide a substantial supply of Ac-225 for future cancer treatment."
31.31,"Q1,Q10,Q2,Q3,Q4,Q5",Ac-225 production and supply; Ac-225 separation and generators; Ra-226 fast-neutron pathway; Ra-226 nuclear data,"Evaluation of the production amount of <sup>225</sup> Ac and its uncertainty through the <sup>226</sup> Ra(n,2n) reaction in the experimental fast reactor Joyo",Y. Sasaki; Aaru Sano; Shinji Sasaki; Nobuyuki Iwamoto; Kazuki Ouchi; Yoshihiro Kitatsuji; et al.,2023,article,Journal of Nuclear Science and Technology,Taylor & Francis,10.1080/00223131.2023.2243941,14,True,https://doi.org/10.1080/00223131.2023.2243941,https://www.tandfonline.com/doi/pdf/10.1080/00223131.2023.2243941,https://openalex.org/W4385658191,"225Ac is a promising nuclide for targeted alpha therapy. At present, the nuclide is mainly extracted from 229Th generators, but its total radioactivity of the world is only 63 GBq/y. Therefore, it is unclear whether this method alone can meet future global medical demand. In this study, we analyzed the production amount of 225Ac and its uncertainty due to the neutron flux and nuclear reaction cross-sections while analyzing the generation process of 225Ac using the experimental fast reactor Joyo operated by the Japan Atomic Energy Agency (JAEA). The analysis showed that irradiating 1 g of 226Ra for 45 d at the core center of Joyo can produce 15.4 ± 6.2 GBq of 225Ac. Therefore, with six irradiations per year (45 d × 6 = 270 d/year), Joyo can produce 55.3 to 129.1 GBq of 225Ac, equivalent to 86 to 200% of the current world supply."
30.75,"Q1,Q10,Q2,Q3,Q4,Q5",Ac-225 production and supply; Ac-225 separation and generators; Ra-226 fast-neutron pathway; Ra-226 nuclear data,Supply and Clinical Application of Actinium-225 and Bismuth-213,Aliyah Morgenstern; Christos Apostolidis; Frank Bruchertseifer,2020,article,Seminars in Nuclear Medicine,Elsevier BV,10.1053/j.semnuclmed.2020.02.003,141,True,https://doi.org/10.1053/j.semnuclmed.2020.02.003,https://www.sciencedirect.com/science/article/pii/S0001299820300040/pdf,https://openalex.org/W3007334567,"The recent development of 225Ac-PSMA617 for therapy of prostate cancer has strikingly demonstrated the clinical potential of targeted alpha therapy. Further promising applications of the alpha emitters 225Actinium and its daughter nuclide 213Bismuth include the therapy of brain tumors, bladder cancer, neuroendocrine tumors, and leukemia. This paper will provide a brief overview on the current status of the clinical development of compounds labelled with 225Ac or 213Bi and describe the various production routes that are in place or are under development to meet the increasing demand for these radionuclides."
