source_id,category_code,category,questions,title,authors,year,source_type,venue,doi,url,evidence_depth,data_basis,method_family,project_relevance,ra226_n2n,ac225_output,time_history,recurrent_model,physics_constraint,multiobjective_optimization,experimental_validation,uncertainty_or_ood,trusted_solver_reference,screening_score,screening_note,abstract
S001,A,"Ac-225 production, separation, and quality","Q1,Q10,Q2,Q3,Q4",The application of poorly crystalline silicotitanate in production of 225Ac,Jonathan Fitzsimmons; Alyson Abraham; Demetra Catalano; Ali Younes; Cathy S. Cutler; Dmitri Medvedev,2019,article,Scientific Reports,10.1038/s41598-019-48021-7,https://doi.org/10.1038/s41598-019-48021-7,title and abstract screened,method or metadata,production-route study,high,no,yes,no,no,no,no,no,no,yes,43.0,Included for structured comparison; use the linked paper for claim-level details.,"Abstract Actinium-225 ( 225 Ac) can be produced from a Thorium-229/Radium-225 ( 229 Th/ 225 Ra) generator, from high/low energy proton irradiated natural Thorium or Radium-226 target. Titanium based ion exchanger were evaluated for purification of 225 Ac. Poorly crystalline silicotitanate (PCST) ion exchanger had high selectivity for Ba, Ag and Th. 225 Ac was received with trace amounts of 227 Ac, 227 Th and 223 Ra, and the solution was used to evaluate the retention of the isotopes on PCST ion exchanger. Over 90% of the 225 Ac was recovered from PCST, and the radiopurity was &gt;99% (calculated based on 225 Ac, 227 Th, and 223 Ra). The capacity of the PCST inorganic ion exchange for Barium and 232 Th was determined to be 24.19 mg/mL for Barium and 5.05 mg/mL for Thorium. PCST ion exchanger could separate 225 Ac from isotopes of Ra and Th, and the process represents an interesting one step separation that could be used in an 225 Ac generator from 225 Ra and/or 229 Th. Capacity studies indicated PCST could be used to separate 225 Ac produced on small 226 Ra targets (0.3–1 g), but PCST did not have a high enough capacity for production scale Th targets (50–100 g)."
S002,A,"Ac-225 production, separation, and quality","Q1,Q10,Q2,Q3,Q4,Q5",Local Production of the Alpha-Emitting Radioi-sotope Actinium 225 with Low Impurities for Targeted Alpha Ther-apy by a Compact Neutron Generator System,M. Martellini; K. N. Leung; Giuseppe Gherardi; Lidia Falzone,2023,article,Medical Research Archives,10.18103/mra.v11i9.4409,http://dx.doi.org/10.18103/mra.v11i9.4409,title and abstract screened,method or metadata,production-route study,high,yes,yes,no,no,no,no,no,no,no,41.0,Included for structured comparison; use the linked paper for claim-level details.,"Alpha-particle emitting radioisotope Actinium225 (225Ac) is of great interest for use in Targeted Alpha Therapy (TAT) treatments of e.g., brain tumors, bladder cancer, neuroendocrine tumors and leukemia. A suitable 225 Ac radioligand is also potentially resolutive for the treatment of advanced and metastatic Castration-Resistant Prostate Cancers (mCRPCs). The mCRPC has a mean survival rate of 9-36 months and encompasses a heterogeneous ample range of molecular cancer behavior with a high risk of progression. Global demand for the 225 Ac has spurred several production efforts including extraction from 233U, high energy protons or photon irradiation of 226Ra or spallation of 232Th by, at least, 100 MeV protons. Instead of using accelerators systems such as cyclotrons or LINACs, a Compact Neutron Generator (CNG) system has been developed. A 400kV-10 mA DC (D_7Li) CNG potentially able to produce substantial amount of 225Ac with low 227Ac impurities is here presented. Exploiting the high flux of 10 and 13 MeV energy neutrons generated by the (D_7Li) reactions to bombard a thin target layer of 226Ra, 225Ra/225Ac is produced via the 226Ra(n,2n)225Ra nuclear reaction. By irradiating a 5 mm thick 226Ra layer for 100 hours, about 11-13 mCi of 225Ac can be produced – corresponding to the TAT treatment of about 65 oncological patients – with an estimated 227Ac contamination of about one percent, which is below the acceptable limit for clinical use. This 225Ac production scheme by a suitable CNG should allow to adopt a local/regional approach avoiding the shipment costs of 225Ac. The aim of this paper is to inform the production chain of radioisotopes to be used in medical field and the medical community involved in the application of radiopharmaceuticals for the cure of cancer, that a new technology based on Compact Neutron Generators (CNG) is in a R&amp;D phase and will allow to produce the necessary quantity of radioisotopes for clinical and research purpose. This will be essential in treatment advanced metastatic cancer as for instance the metastatic Castration – Resistant Prostate Cancer."
S003,A,"Ac-225 production, separation, and quality","Q1,Q10,Q2,Q3,Q4,Q5",Medical Isotope Production of Actinium 225 By Linear Accelerator Photon Irradiation of Radium 226,Paul Daniel VanSant,2013,dissertation,VTechWorks (Virginia Tech),,http://hdl.handle.net/10919/50984,title and abstract screened,method or metadata,domain study,high,no,yes,no,no,no,no,no,no,no,39.0,Included for structured comparison; use the linked paper for claim-level details.,"There is a present and future need for the medical isotope Actinium-225, currently in short supply worldwide. Only a couple manufacturers produce it in very low quantities. In roughly the past 10 years the medical community has explored the use of Ac-225 and its daughter Bismuth-213 for targeting a number of differing cancers by way of Targeted Alpha Therapy (TAT). This method utilizes the alpha-decay of both Ac-225 (half-life 10 days) and Bi-213 (half-life 46 min) to kill cancerous cells on a localized basis. Maximum energy is delivered to the cancer cells thereby greatly minimizing healthy tissue damage. This research proposes a production method using a high-energy photon spectrum (generated by a linear accelerator or LINAC) to irradiate a sample of Radium-226 (half-life 1600yrs). The photo-neutron reaction liberates neutrons from Ra-226 atoms leaving behind Radium-225 (half-life 14.7 days). Ra-225 decays naturally through beta emission to Ac-225. Previous research demonstrated it is possible to produce Ac-225 using a LINAC; however, very low yields resulted which questioned the feasibility of this production method. This research proposes a number of LINAC and radium sample modifications that could be greatly increase yield amounts for practical use. Additionally, photo-neutron cross-section data for Ra-226 was used, which led to improved yield calculations for Ra-225. A MATLAB® model was also created, which enables users to perform quick yield estimates given several key model parameter inputs. Obtaining a sufficient supply of radium material is also of critical importance to this research. Therefore information was gathered regarding availability and inventory of Radium-226. This production method would serve as a way to not only eliminate many hazardous radium sources destined for interim storage, but provide a substantial supply of Ac-225 for future cancer treatment."
S004,A,"Ac-225 production, separation, and quality","Q1,Q10,Q2,Q3,Q4,Q5,Q7,Q9",Research and Development for Cyclotron Production of 225Ac from 226Ra—The Challenges in a Country Lacking Natural Resources for Medical Applications,Tatsuya Higashi; Kotaro Nagatsu; Atsushi B. Tsuji; Ming‐Rong Zhang,2022,article,Processes,10.3390/pr10061215,https://doi.org/10.3390/pr10061215,title and abstract screened,review or synthesis,production-route study,high,no,yes,no,no,no,no,no,no,no,39.0,Included for structured comparison; use the linked paper for claim-level details.,"The high therapeutic effect of targeted radioisotope/radionuclide therapy (TRT) using α-emitters, especially 225Ac, is attracting attention worldwide. However, the only 225Ac production method that has been put into practical use is extraction from a 229Th generator derived from the nuclear fuel 233U, and it is unlikely that this method alone is able to meet future global medical demand. Development towards new 225Ac production methods is in progress. These new 225Ac production methods require the irradiation of 232Th or 226Ra using an accelerator or a nuclear reactor. Global competition has already begun in the race to secure a reliable supply of 232Th and 226Ra, as well as 229Th for the conventional production method. Japan is a “resource-poor country” that depends on foreign countries for most of its needs. As such, it is difficult for Japan to secure raw materials such as 232Th and 226Ra for medical application. In this paper, we look back on our research at the National Institutes for Quantum Science and Technology (QST) in the fields of 225Ac production and 225Ac-labeled pharmaceutical development. We present the history and details of our research from 2011, as well as the development of a collaboration between QST and Nihon Medi-Physics that focuses on research into 225Ac production via 226Ra(p,2n)225Ac reaction using an accelerator. Furthermore, we review the valuable discussion at the 2018 Joint IAEA-JRC Workshop—“Supply of Actinium-225”, an international conference that we participated in. Overall, the statuses of external 225Ac supply, domestic production, and distribution are discussed, as are the latest developments in 225Ac production methods, 225Ac pharmaceuticals, and future prospects for the domestic production of 225Ac in Japan, a country lacking natural resources for medical applications."
S005,A,"Ac-225 production, separation, and quality","Q1,Q3,Q4",Experimental approaches for the production of thorium-229,M. Molnár,2019,dissertation,Illinois Digital Environment for Access to Learning and Scholarship (University of Illinois at Urbana-Champaign),,http://hdl.handle.net/2142/106285,title and abstract screened,experimental or measured,domain study,high,no,yes,no,no,no,no,yes,no,no,37.0,Included for structured comparison; use the linked paper for claim-level details.,"In the United States, cancer is the second leading cause of death and a major public health problem worldwide. This has influenced researchers in the field of nuclear medicine to develop new and innovative ways for detecting and treating various forms of cancer. Targeted alpha therapy (TAT) is a promising technique for treating metastatic cancer and involves delivering a radionuclide to the cancerous cells in the body, where it decays by releasing high-energy (5-8 MeV) α-particles with high linear energy transfer (LET) over a short (50-100 µm) range and relatively low toxicity to the rest of the body. Actinium-225 is an ideal radioisotope for TAT due to its short half-life (t1/2=9.92 days) and 3 α-emitting decay daughters. Currently, there is not enough 225Ac available to meet expected demand. Therefore, the goal of this research is to produce more of the parent radioisotope, thorium-229 (t1/2=7932 years.) The two methods of production we chose to investigate are 1) the irradiation of a 226Ra target in the High Flux Isotope Reactor (HFIR) at Oak Ridge National Laboratory (ORNL) and 2) the fast neutron irradiation of a 230Th target in a particle accelerator. \nThis thesis outlines several experiments completed at ORNL to test the feasibility and preparation procedures for these two production methods. First, we experimentally evaluated the effective neutron cross section of 229Th to be 8.36 ± 0.37 barns, which is more than 3 times lower than the current reported value of 30.8 ± 1.5 barns. Second, we tested methods for preparing uniformly distributed 230Th targets for fast neutron irradiation at Lawrence Berkeley National Laboratory and determined that depositing approximately 25-30 mg of enriched 230Th(NO3)4 onto a high-purity aluminum substrate and sealing the material with Kapton tape to prevent rehydration is the best way to produce this target."
S006,A,"Ac-225 production, separation, and quality","Q1,Q10,Q2,Q3,Q4,Q5","Actinium-225/Bismuth-213 as Potential Leaders for Targeted Alpha Therapy: Current Supply, Application Barriers, and Future Prospects",Mohamed F. Nawar; Adli A. Selim; Basma M. Essa; Alaa F. El-Daoushy; Mohamed M. Swidan; Claudia Chambers; et al.,2025,article,Cancers,10.3390/cancers17183055,https://doi.org/10.3390/cancers17183055,title and abstract screened,review or synthesis,domain study,high,no,yes,no,no,no,no,no,no,yes,35.0,Included for structured comparison; use the linked paper for claim-level details.,"Alpha therapy (TAT) relies on combining alpha-emitting radionuclides with specific cell-targeting vectors to deliver a high payload of cytotoxic radiation capable of destroying tumor tissues. TAT efficacy comes from the tissue selectivity of the targeting vector, the high linear energy transfer (LET) of the radionuclide, and the short range of alpha particles in tissues. Recent research studies have been directed to evaluate TAT on a preclinical and clinical scale, including evaluating damage to tumor tissues with minimal toxic radiation effects on surrounding healthy tissues. This review highlights the use of Actinium-225/Bismuth-213 radionuclides as promising candidates for TAT. Herein, we begin with a discussion on the production and supply of [225Ac]Ac/[213Bi]Bi followed by the formulation of [225Ac]Ac/[213Bi]Bi-radiopharmaceuticals using different radiolabeling techniques. Finally, we have summarized the preclinical and clinical evaluation of these potential radiotheranostic agents."
S007,A,"Ac-225 production, separation, and quality","Q1,Q10,Q2,Q3,Q4,Q5",Supply and Clinical Application of Actinium-225 and Bismuth-213,Aliyah Morgenstern; Christos Apostolidis; Frank Bruchertseifer,2020,article,Seminars in Nuclear Medicine,10.1053/j.semnuclmed.2020.02.003,https://doi.org/10.1053/j.semnuclmed.2020.02.003,title and abstract screened,review or synthesis,domain study,high,no,yes,no,no,no,no,no,no,no,35.0,Included for structured comparison; use the linked paper for claim-level details.,"The recent development of 225Ac-PSMA617 for therapy of prostate cancer has strikingly demonstrated the clinical potential of targeted alpha therapy. Further promising applications of the alpha emitters 225Actinium and its daughter nuclide 213Bismuth include the therapy of brain tumors, bladder cancer, neuroendocrine tumors, and leukemia. This paper will provide a brief overview on the current status of the clinical development of compounds labelled with 225Ac or 213Bi and describe the various production routes that are in place or are under development to meet the increasing demand for these radionuclides."
S008,A,"Ac-225 production, separation, and quality","Q1,Q10,Q2,Q3,Q4",225Ac-Labeled Somatostatin Analogs in the Management of Neuroendocrine Tumors: From Radiochemistry to Clinic,Léa Rubira; Emmanuel Deshayes; Lore Santoro; Pierre Olivier Kotzki; Cyril Fersing,2023,article,Pharmaceutics,10.3390/pharmaceutics15041051,https://doi.org/10.3390/pharmaceutics15041051,title and abstract screened,review or synthesis,production-route study,high,no,yes,no,no,no,no,no,no,yes,33.0,Included for structured comparison; use the linked paper for claim-level details.,"The widespread use of peptide receptor radionuclide therapy (PRRT) represents a major therapeutic breakthrough in nuclear medicine, particularly since the introduction of 177Lu-radiolabeled somatostatin analogs. These radiopharmaceuticals have especially improved progression-free survival and quality of life in patients with inoperable metastatic gastroenteropancreatic neuroendocrine tumors expressing somatostatin receptors. In the case of aggressive or resistant disease, the use of somatostatin derivatives radiolabeled with an alpha-emitter could provide a promising alternative. Among the currently available alpha-emitting radioelements, actinium-225 has emerged as the most suitable candidate, especially regarding its physical and radiochemical properties. Nevertheless, preclinical and clinical studies on these radiopharmaceuticals are still few and heterogeneous, despite the growing momentum for their future use on a larger scale. In this context, this report provides a comprehensive and extensive overview of the development of 225Ac-labeled somatostatin analogs; particular emphasis is placed on the challenges associated with the production of 225Ac, its physical and radiochemical properties, as well as the place of 225Ac–DOTATOC and 225Ac–DOTATATE in the management of patients with advanced metastatic neuroendocrine tumors."
S009,A,"Ac-225 production, separation, and quality","Q1,Q10,Q2,Q3,Q4",Cyclotron production of 225Ac from an electroplated 226Ra target,Kotaro Nagatsu; Hisashi Suzuki; Masami Fukada; Taku Ito; Jun Ichinose; Yoshio Honda; et al.,2021,article,European Journal of Nuclear Medicine and Molecular Imaging,10.1007/s00259-021-05460-7,https://doi.org/10.1007/s00259-021-05460-7,title and abstract screened,method or metadata,production-route study,high,no,yes,yes,no,no,no,no,no,no,32.0,Included for structured comparison; use the linked paper for claim-level details.,"Abstract Purpose We demonstrate cyclotron production of high-quality 225 Ac using an electroplated 226 Ra target. Methods 226 Ra was extracted from legacy Ra sources using a chelating resin. Subsequent ion-exchange purification gave pure 226 Ra with a certain amount of carrier Ba. The radium target was prepared by electroplating. We successfully deposited about 37 MBq of 226 Ra on a target box. Maximum activation was achieved using 15.6 MeV protons on the target at 20 µA for 5 h. Two functional resins with various concentrations of nitric acid purified 225 Ac and recovered 226 Ra. Cooling the intermediate 225 Ac for 2–3 weeks decayed the major byproduct of 226 Ac and increased the radionuclidic purity of 225 Ac. Repeating the same separation protocol provided high-quality 225 Ac. Results We obtained 225 Ac at a yield of about 2.4 MBq at the end of bombardment (EOB), and the subsequent initial purification gave 1.7 MBq of 225 Ac with 226 Ac/ 225 Ac ratio of &lt; 3% at 4 days from EOB. Additional cooling time coupled with the separation procedure (secondary purification) effectively increased the 225 Ac (4n + 1 series) radionuclidic purity up to 99 + %. The recovered 225 Ac had a similar identification to commercially available 225 Ac originating from a 229 Th/ 225 Ac generator. Conclusion This procedure, which involves the 226 Ra(p,2n) 225 Ac reaction and the appropriate purification, has the potential to be a major alternative pathway for 225 Ac production because it can be performed in any facility with a compact cyclotron to address the increasing demand for 225 Ac."
S010,A,"Ac-225 production, separation, and quality","Q1,Q10,Q2,Q3,Q4,Q5",Recent Innovations and Nano-Delivery of Actinium-225: A Narrative Review,Sipho Mdanda; Lindokuhle M. Ngema; Amanda Mdlophane; Mike Sathekge; Jan Rijn Zeevaart,2023,review,Pharmaceutics,10.3390/pharmaceutics15061719,https://doi.org/10.3390/pharmaceutics15061719,title and abstract screened,review or synthesis,domain study,high,no,yes,no,no,no,no,no,no,no,28.0,Included for structured comparison; use the linked paper for claim-level details.,"The actinium-225 (225Ac) radioisotope exhibits highly attractive nuclear properties for application in radionuclide therapy. However, the 225Ac radionuclide presents multiple daughter nuclides in its decay chain, which can escape the targeted site, circulate in plasma, and cause toxicity in areas such as kidneys and renal tissues. Several ameliorative strategies have been devised to circumvent this issue, including nano-delivery. Alpha-emitting radionuclides and nanotechnology applications in nuclear medicine have culminated in major advancements that offer promising therapeutic possibilities for treating several cancers. Accordingly, the importance of nanomaterials in retaining the 225Ac daughters from recoiling into unintended organs has been established. This review expounds on the advancements of targeted radionuclide therapy (TRT) as an alternative anticancer treatment. It discusses the recent developments in the preclinical and clinical investigations on 225Ac as a prospective anticancer agent. Moreover, the rationale for using nanomaterials in improving the therapeutic efficacy of α-particles in targeted alpha therapy (TAT) with an emphasis on 225Ac is discussed. Quality control measures in the preparation of 225Ac-conjugates are also highlighted."
